zip code,Estimated zip code population in 2016,Zip code population in 2010,Zip code population in 2000,March 2016 Index,Land area,Water area,Population Density (#/sqr mile),Males,Females,Real estate property taxes paid for housing units in 2016,Property Tax % on Houses,Property Tax on Housting ($),Median real estate property taxes paid for housing units with mortgages in 2016,Median real estate property taxes paid for housing units with no mortgage in 2016,Estimated median house/condo value in 2016,Estimated median household income in 2016,Median monthly owner costs for units with a mortgage,Median monthly owner costs for units without a mortgage,Median gross rent in 2016,Median price asked for vacant for-sale houses and condos in 2016,Unemployment
60007,34216,33820,35162,103.6,14.1 sq. mi.,0.4 sq. mi.,2430,17146,17070,"2.1% ($5,973)",0.021,5973,"$6,075 (2.0%)","$5,721 (2.1%)",289908,74038,1919,718,1122,166372,0.043
60018,30956,30099,29950,103.5,16.3 sq. mi.,0.3 sq. mi.,1893,15887,15069,"2.4% ($6,027)",0.024,6027,"$6,156 (2.2%)","$5,814 (2.7%)",252171,58798,1761,739,967,277853,0.051
60068,38105,37475,37732,105.3,7.1 sq. mi.,0.0 sq. mi.,5371,18396,19709,"2.2% ($9,579)",0.022,9579,"$10,062 (2.1%)","$8,788 (2.2%)",441077,96310,2558,1003,1277,375564,0.03
60106,20504,20309,22404,102.9,9.0 sq. mi.,0.1 sq. mi.,2287,10112,10391,"2.4% ($5,719)",0.024,5719,"$5,896 (2.5%)","$5,346 (2.4%)",234413,65690,1798,699,1063,176362,0.057
60131,18331,18097,19342,101.3,5.5 sq. mi.,0.0 sq. mi.,3304,8846,9484,"3.3% ($6,254)",0.033,6254,"$6,358 (3.3%)","$6,022 (3.2%)",190682,59766,1679,700,825,273429,0.057
60176,11982,11795,11636,102.3,2.6 sq. mi.,0.0 sq. mi.,4523,5951,6030,"2.6% ($5,151)",0.026,5151,"$5,475 (2.7%)","$4,612 (2.4%)",197786,55188,1644,613,918,691006,0.072
60601,13891,11110,5591,108.9,0.4 sq. mi.,0.0 sq. mi.,35947,7117,6773,"1.2% ($6,401)",0.012,6401,"$6,322 (1.2%)","$6,604 (1.3%)",514220,108038,2795,1247,2040,1030230,0.039
60602,1269,1204,70,110.1,0.1 sq. mi.,0.0 sq. mi.,14580,672,597,"1.6% ($6,468)",0.016,6468,"$6,562 (2.6%)",#N/A,416659,88852,1906,#N/A,2331,339727,0.005
60603,1043,493,378,110.4,0.1 sq. mi.,0.0 sq. mi.,7198,452,591,"1.2% ($8,311)",0.012,8311,"$8,559 (1.2%)","$7,296 (1.1%)",680818,146329,3253,1361,2422,748099,0.05
60604,627,570,78,106.7,0.1 sq. mi.,0.0 sq. mi.,6773,308,319,"1.3% ($6,656)",0.013,6656,"$6,910 (1.3%)","$5,018 (1.2%)",511002,156353,2585,1265,2030,339727,0.009
