zipcode,Estimated zip code population in 2016,Zip code population in 2010,Zip code population in 2000,March 2016 Index,Land area,Water area,Population Density (#/sqr mile),Males,Females,Real estate property taxes paid for housing units in 2016,Property Tax % on Houses,Property Tax on Housting ($),Median real estate property taxes paid for housing units with mortgages in 2016,Median real estate property taxes paid for housing units with no mortgage in 2016,Estimated median house/condo value in 2016,Estimated median household income in 2016,Median monthly owner costs for units with a mortgage,Median monthly owner costs for units without a mortgage,Median gross rent in 2016,Median price asked for vacant for-sale houses and condos in 2016,Unemployment,Lat,Lon
60601,13891.0,11110.0,5591.0,108.9,0.4 sq. mi.,0.0 sq. mi.,35947.0,7117,6773,"1.2% ($6,401)",0.012,6401,"$6,322 (1.2%)","$6,604 (1.3%)",514220.0,108038.0,2795.0,1247.0,2040.0,1030230.0,0.039,41.88531,-87.622116
60602,1269.0,1204.0,70.0,110.1,0.1 sq. mi.,0.0 sq. mi.,14580.0,672,597,"1.6% ($6,468)",0.016,6468,"$6,562 (2.6%)",,416659.0,88852.0,1906.0,,2331.0,339727.0,0.005,41.883072999999996,-87.629149
60603,1043.0,493.0,378.0,110.4,0.1 sq. mi.,0.0 sq. mi.,7198.0,452,591,"1.2% ($8,311)",0.012,8311,"$8,559 (1.2%)","$7,296 (1.1%)",680818.0,146329.0,3253.0,1361.0,2422.0,748099.0,0.05,41.880188000000004,-87.625509
60604,627.0,570.0,78.0,106.7,0.1 sq. mi.,0.0 sq. mi.,6773.0,308,319,"1.3% ($6,656)",0.013,6656,"$6,910 (1.3%)","$5,018 (1.2%)",511002.0,156353.0,2585.0,1265.0,2030.0,339727.0,0.009000000000000001,41.878095,-87.628461
60605,27004.0,24668.0,12423.0,107.3,1.2 sq. mi.,0.8 sq. mi.,21684.0,12907,14097,"1.3% ($5,418)",0.013,5418,"$5,250 (1.3%)","$5,994 (1.4%)",419656.0,103862.0,2420.0,1034.0,1909.0,932097.0,0.033,41.867566,-87.617228
60606,3054.0,2308.0,1682.0,107.5,0.3 sq. mi.,0.0 sq. mi.,11954.0,1473,1580,"1.3% ($5,607)",0.013,5607,"$5,853 (1.4%)","$5,336 (1.1%)",436749.0,124950.0,2749.0,1126.0,2129.0,339727.0,0.012,41.882065999999995,-87.637349
60607,28784.0,23897.0,15552.0,106.9,2.3 sq. mi.,0.0 sq. mi.,12406.0,14257,14526,"1.4% ($5,363)",0.014,5363,"$5,232 (1.3%)","$5,999 (1.6%)",387025.0,90063.0,2318.0,893.0,1740.0,1168344.0,0.048,41.87493,-87.651596
60608,79191.0,82739.0,92472.0,106,6.4 sq. mi.,0.2 sq. mi.,12469.0,43784,35410,"1.4% ($3,547)",0.014,3547,"$3,627 (1.4%)","$3,382 (1.4%)",251616.0,39133.0,1791.0,592.0,862.0,255204.0,0.085,41.84688,-87.670664
60609,63142.0,64906.0,79469.0,104,7.8 sq. mi.,0.0 sq. mi.,8139.0,31179,31963,"1.5% ($2,649)",0.015,2649,"$2,908 (1.5%)","$2,329 (1.7%)",174811.0,34078.0,1544.0,534.0,816.0,174322.0,0.149,41.81268,-87.656935
60610,38989.0,37726.0,47513.0,108,1.2 sq. mi.,0.4 sq. mi.,33253.0,17500,21487,"1.4% ($6,603)",0.014,6603,"$6,473 (1.3%)","$6,867 (1.5%)",478703.0,80292.0,2575.0,1341.0,1445.0,504905.0,0.038,41.906772,-87.632231
60611,32015.0,28718.0,26522.0,109.2,0.8 sq. mi.,0.6 sq. mi.,38783.0,14700,17314,"1.3% ($6,890)",0.013,6890,"$6,230 (1.3%)","$7,683 (1.3%)",528649.0,96384.0,2853.0,1508.0,1877.0,714808.0,0.035,41.8957,-87.613775
60612,36069.0,33472.0,37990.0,107.2,3.7 sq. mi.,0.0 sq. mi.,9626.0,17545,18523,"1.6% ($4,262)",0.016,4262,"$4,417 (1.7%)","$3,641 (1.3%)",269264.0,38678.0,1930.0,679.0,957.0,327093.0,0.122,41.880320000000005,-87.687749
60613,50229.0,48281.0,50548.0,105.2,2.2 sq. mi.,0.4 sq. mi.,23099.0,25208,25020,"1.5% ($5,201)",0.015,5201,"$5,412 (1.5%)","$4,008 (1.3%)",349066.0,76872.0,2247.0,848.0,1278.0,357243.0,0.036000000000000004,41.956949,-87.65427199999999
60614,70818.0,66617.0,65474.0,107.9,3.2 sq. mi.,0.3 sq. mi.,22367.0,35104,35713,"1.4% ($7,988)",0.014,7988,"$8,100 (1.4%)","$7,746 (1.5%)",575598.0,98566.0,2934.0,1219.0,1474.0,1165077.0,0.026000000000000002,41.922714,-87.64957700000001
60615,40834.0,40603.0,45096.0,106,2.2 sq. mi.,0.6 sq. mi.,18456.0,19233,21600,"1.3% ($3,169)",0.013,3169,"$3,580 (1.3%)","$2,701 (1.4%)",245401.0,42271.0,1990.0,808.0,1055.0,381912.0,0.086,41.801646999999996,-87.596288
60616,53334.0,48433.0,47073.0,107.7,4.0 sq. mi.,0.6 sq. mi.,13170.0,25320,28013,"1.3% ($4,359)",0.013,4359,"$4,516 (1.3%)","$4,049 (1.5%)",324204.0,44551.0,2117.0,651.0,977.0,449066.0,0.069,41.844883,-87.624032
60617,81149.0,84155.0,96288.0,101.8,13.9 sq. mi.,1.5 sq. mi.,5850.0,37507,43640,"1.3% ($1,741)",0.013,1741,"$1,820 (1.3%)","$1,563 (1.2%)",138517.0,38799.0,1326.0,473.0,811.0,170512.0,0.159,41.718196999999996,-87.552739
60618,97003.0,92084.0,98147.0,106.2,5.1 sq. mi.,0.0 sq. mi.,19167.0,49343,47661,"1.5% ($5,755)",0.015,5755,"$5,889 (1.5%)","$5,335 (1.7%)",372485.0,64678.0,2280.0,770.0,1114.0,395089.0,0.044000000000000004,41.946962,-87.702548
60619,63723.0,63825.0,74963.0,103.8,6.0 sq. mi.,0.0 sq. mi.,10584.0,28005,35715,"1.3% ($2,161)",0.013,2161,"$2,284 (1.4%)","$1,894 (1.3%)",161714.0,33352.0,1463.0,498.0,868.0,105906.0,0.166,41.74369,-87.605526
60620,70293.0,72216.0,85771.0,103.2,7.1 sq. mi.,0.0 sq. mi.,9922.0,31294,38996,"1.2% ($1,822)",0.012,1822,"$1,873 (1.2%)","$1,699 (1.3%)",146841.0,33745.0,1364.0,514.0,885.0,112420.0,0.17300000000000001,41.740497,-87.652558
60621,31833.0,35912.0,47514.0,104.5,3.7 sq. mi.,0.0 sq. mi.,8539.0,14201,17631,"1.3% ($1,499)",0.013,1499,"$1,520 (1.2%)","$1,476 (1.5%)",114321.0,20986.0,1257.0,521.0,831.0,139027.0,0.261,41.776382,-87.639572
60622,55248.0,52548.0,76015.0,107.1,2.5 sq. mi.,0.0 sq. mi.,22502.0,28826,26423,"1.4% ($6,619)",0.014,6619,"$6,593 (1.4%)","$6,643 (1.6%)",474819.0,82366.0,2572.0,881.0,1307.0,581870.0,0.04,41.902172,-87.683337
